id,cost_code,aircraft_code,year,scenario,rate_value,rate_unit,source_name,source_url,notes,date_added
56,DD4,B738,2023,high,68.0,AUD_per_departure_delay_minute,Airport gate holding charges — YSSY and YMML slot constraints,https://www.airservicesaustralia.com,Significant at Sydney and Melbourne only x cause weight 0.85,2026-05-09
57,DD7,B738,2023,high,15.28,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,0.5 downstream delay minutes per primary minute x cause weight 0.27 airline-caused only,2026-05-09
58,DD8,B738,2023,high,529.47,AUD_per_recovery_sector,Boeing 737 Performance Manual — fuel burn increase at recovery cruise speed approximately 8-12 percent,https://www.boeing.com/commercial/737ng,10% fuel burn increase at recovery cruise speed 2650 lph x 10% x 1.8 hrs x AUD $1.11/L Applies only to airlines where arrivals_delayed < departures_delayed,2026-05-09
59,DA5,B738,2023,high,0.78,AUD_per_arrival_delay_minute_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr / 60 = $0.7833/min per passenger SOCIAL COST — not carrier cash cost Applies to arrivals_delayed count,2026-05-09
61,C1,A320,2023,low,1039.73,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Opportunity cost — lease/depreciation 25% of cycle cost pro-rated by proportion incurred before cancellation,2026-05-09
62,C2,A320,2023,low,781.2,AUD_per_cancelled_sector,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Captain + FO combined AUD 434/hr x 1.8 hrs sector duration,2026-05-09
63,C3,A320,2023,low,273.6,AUD_per_cancelled_sector,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $38/hr transport sector AWE x 4 cabin crew x 1.8 hrs,2026-05-09
64,C4,A320,2023,low,831.78,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground ops 20% of cycle cost — already mobilised at gate,2026-05-09
65,C5,A320,2023,low,1109.04,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Airport charges 8% of cycle cost — committed regardless,2026-05-09
66,C6,A320,2023,low,8.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,15 mins reservations staff at AUD $32/hr per passenger,2026-05-09
67,C7,A320,2023,low,50.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Low=own seat available Base=discounted competitor High=full fare competitor,2026-05-09
68,C8,A320,2023,low,15.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Voluntary airline policy — no mandatory AU compensation,2026-05-09
69,C9,A320,2023,low,0.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Hotel AUD $180/night x 15% overnight trigger rate,2026-05-09
70,C10,A320,2023,low,94.0,AUD_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr x 2.0 hrs wait for next available flight — SOCIAL COST not carrier cash cost,2026-05-09
71,C11,A320,2023,low,2245.81,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Reactionary multiplier 1.8 downstream sectors at 30% cost propagation — EUROCONTROL,2026-05-09
72,C12,A320,2023,low,150.0,AUD_per_cancelled_sector,Industry estimate domestic cargo rerouting,https://www.bitre.gov.au/statistics/aviation/domestic,Minor cost item — cargo secondary on domestic routes,2026-05-09
73,DD1,A320,2023,low,9.32,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,At-gate fuel burn 20% of cruise rate 2520 lph x AUD $1.11/L x cause weight 1.0,2026-05-09
74,DD2,A320,2023,low,0.0,AUD_per_departure_delay_minute,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,50% base / 80% high of delay minutes trigger overtime x cause weight 0.73 controllable delays only,2026-05-09
75,DD3,A320,2023,low,13.8,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground handling 15% of per-minute cost x cause weight 0.73 controllable delays only,2026-05-09
76,DD4,A320,2023,low,0.0,AUD_per_departure_delay_minute,Airport gate holding charges — YSSY and YMML slot constraints,https://www.airservicesaustralia.com,Significant at Sydney and Melbourne only x cause weight 0.85,2026-05-09
77,DD7,A320,2023,low,17.02,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,0.5 downstream delay minutes per primary minute x cause weight 0.27 airline-caused only,2026-05-09
78,DD8,A320,2023,low,503.5,AUD_per_recovery_sector,Boeing 737 Performance Manual — fuel burn increase at recovery cruise speed approximately 8-12 percent,https://www.boeing.com/commercial/737ng,10% fuel burn increase at recovery cruise speed 2520 lph x 10% x 1.8 hrs x AUD $1.11/L Applies only to airlines where arrivals_delayed < departures_delayed,2026-05-09
79,DA5,A320,2023,low,0.78,AUD_per_arrival_delay_minute_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr / 60 = $0.7833/min per passenger SOCIAL COST — not carrier cash cost Applies to arrivals_delayed count,2026-05-09
81,C1,A320,2023,base,1386.3,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Opportunity cost — lease/depreciation 25% of cycle cost pro-rated by proportion incurred before cancellation,2026-05-09
82,C2,A320,2023,base,781.2,AUD_per_cancelled_sector,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Captain + FO combined AUD 434/hr x 1.8 hrs sector duration,2026-05-09
83,C3,A320,2023,base,273.6,AUD_per_cancelled_sector,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $38/hr transport sector AWE x 4 cabin crew x 1.8 hrs,2026-05-09
84,C4,A320,2023,base,1109.04,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground ops 20% of cycle cost — already mobilised at gate,2026-05-09
85,C5,A320,2023,base,1109.04,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Airport charges 8% of cycle cost — committed regardless,2026-05-09
86,C6,A320,2023,base,8.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,15 mins reservations staff at AUD $32/hr per passenger,2026-05-09
87,C7,A320,2023,base,150.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Low=own seat available Base=discounted competitor High=full fare competitor,2026-05-09
88,C8,A320,2023,base,25.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Voluntary airline policy — no mandatory AU compensation,2026-05-09
89,C9,A320,2023,base,27.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Hotel AUD $180/night x 15% overnight trigger rate,2026-05-09
90,C10,A320,2023,base,188.0,AUD_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr x 4.0 hrs wait for next available flight — SOCIAL COST not carrier cash cost,2026-05-09
91,C11,A320,2023,base,2994.41,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Reactionary multiplier 1.8 downstream sectors at 30% cost propagation — EUROCONTROL,2026-05-09
